1.0000	Рекомендовано використовувати бездротову зарядну поверхню.	It is recommended to use a wireless charge pad.
1.0000	Дротове заряджання	Wired charging
1.0000	Перед використанням цієї функції бажано зняти всі аксесуари та кришку.	It is recommended to remove any accessories and cover being used before using this feature.
1.0000	У разі використання бездротового зарядного пристрою у місцях зі слабким сигналом мережі можна втратити зв’язок.	If you use the wireless charger in areas with weak network signals, you may lose network reception.
1.0000	Застереження щодо бездротового зарядження	Precautions for wireless charging
1.0000	Якщо (Бездротова передача живлення) на панелі швидкого доступу немає, торкніться і перетягніть кнопку, щоб додати її.	If you cannot find (Wireless power sharing) on the quick panel, tap and drag the button over to add it.
1.0000	Запустіть програму Налаштування, торкніться Батарея та обслугов. пристрою → Акумулятор → Інші налаштування батареї, а тоді увімкніть потрібну функцію.	Launch the Settings app, tap Battery and device care → Battery → More battery settings, and then activate the feature you want.
1.0000	У разі недотримання наведених нижче застережень пристрій може не заряджатися як належить чи перегріватися, крім того він або карти можуть пошкодитися.	If you do not follow the precautions below, the device may not charge properly or may overheat, or the device and any cards may be damaged.
1.0000	Підключіть кабель USB до блока живлення USB, а потім вставте кабель у багатофункціональне гніздо пристрою для заряджання акумулятора.	Connect the USB cable to the USB power adaptor and plug the cable into the device’s multipurpose jack to charge the battery.
1.0000	Бездротове заряджання	Wireless charging
1.0000	Швидке заряджання: для задіяння функції швидкого заряджання потрібен зарядний пристрій, який підтримує адаптивне швидке заряджання.	Fast charging: To use the fast charging feature, use a battery charger that supports
1.0000	Від акумулятора вашого пристрою можна заряджати інший пристрій.	You can charge another device with your device’s battery.
1.0000	Бездротове заряджання може не працювати належним чином через певний аксесуар або кришку.	Wireless charging may not work smoothly depending on the type of accessory or cover.
1.0000	Інший пристрій можна заряджати також і під час заряджання даного пристрою. Залежно від типу використовуваних аксесуарів або кришок	You can still charge another device even while charging your device.
1.0000	Додайте регулярну операцію автоматичного вимкнення функції швидкої бездротової зарядки в заданий час за допомогою Сценарії.	Add a routine to set the fast wireless charging feature to turn off automatically at the preset time using Routines.
1.0000	Швид бездрот заряджання: для використання цієї функції потрібні компоненти, зокрема зарядний пристрій, що підтримують функцію швидкої бездротової зарядки.	Fast wireless charging: To use this feature, use a charger and components that support the fast wireless charging feature.
1.0000	Розрахований час зарядки буде відображено на панелі сповіщень.	The estimated charging time will appear on the notification panel.
1.0000	Перед заряджанням акумулятора складіть пристрій.	Fold the device before charging the battery.
1.0000	У разі використання бездротового зарядного пристрою-підставки ваш пристрій може не зафіксуватися надійно або може не заряджатися належним чином.	If you use a wireless charge stand, your device may not be securely mounted or may not charge properly.
1.0000	Сумістіть центр задньої панелі пристрою із центром бездротового зарядного пристрою для заряджання акумулятора.	Place the centre of the device’s back on the centre of the wireless charger to charge the battery.
1.0000	Розташуйте свій пристрій та інший пристрій біля його центру задніми сторонами один до одного.	Place the other device on the centre of your device, with their backs facing.
1.0000	Якщо бездротовий зарядний пристрій має внутрішній вентилятор, то під час швидкого бездротового заряджання такий вентилятор може створювати шум.	If the wireless charger has an internal fan, the fan may produce noise during fast wireless charging.
1.0000	Використовуйте бездротові зарядні пристрої, рекомендовані компанією Samsung.	Use Samsung-approved wireless chargers.
1.0000	Акумулятор швидше заряджається, якщо пристрій або його екран вимкнено.	You can charge the battery more quickly while the device or its screen is turned off.
1.0000	Перед першим використанням акумулятора, а також, якщо він не використовувався протягом тривалого часу, потрібно зарядити його.	Charge the battery before using it for the first time or when it has been unused for extended periods.
1.0000	Пристрій оснащено вбудованою спіраллю для бездротового заряджання.	The device has a built-in wireless charging coil.
1.0000	Для надійного бездротового заряджання рекомендується зняти таку кришку або аксесуар з пристрою.	For stable wireless charging, it is recommended to separate the cover or accessory from the device.
1.0000	Фактичний час зарядки передбачає, що пристрій не використовується, і може відрізнятися залежно від умов зарядки.	The actual charging time assumes that the device is not in use, and it may vary depending on the charging conditions.
1.0000	Після повного зарядження від’єднайте зарядний пристрій від мобільного пристрою.	After fully charging, disconnect the charger from the device.
1.0000	Не розміщуйте пристрій на бездротовому зарядному пристрої, якщо між ним та бездротовим зарядним пристроєм розташовані струмопровідні матеріали, такі як металеві об’єкти чи магніти.	Do not place the device on the wireless charger when conductive materials, such as metal objects and magnets, are placed between the device and the wireless charger.
1.0000	Коли функція швидкої бездротової зарядки вимикається, шум вентилятора та яскравість світлового індикатора зарядного пристрою знижуються.	When the fast wireless charging feature turns off, the charger’s fan noise and the indicator light will be reduced.
